GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
WHO_REGIONS,AFR,African Region,2009,RUBELLA,Rubella,"per 1,000,000 total population",25.2
WHO_REGIONS,AFR,African Region,2009,TTETANUS,Total tetanus,"per 1,000,000 total population",6.7
WHO_REGIONS,AFR,African Region,2009,YFEVER,Yellow fever,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2008,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2008,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2008,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2008,MEASLES,Measles,"per 1,000,000 total population",44.7
WHO_REGIONS,AFR,African Region,2008,MUMPS,Mumps,"per 1,000,000 total population",99.5
WHO_REGIONS,AFR,African Region,2008,NTETANUS,Neonatal tetanus,per 1000 live births,0.1
WHO_REGIONS,AFR,African Region,2008,PERTUSSIS,Pertussis,"per 1,000,000 total population",37.3
WHO_REGIONS,AFR,African Region,2008,POLIO,Poliomyelitis,"per 1,000,000 <15 population",2.8
WHO_REGIONS,AFR,African Region,2008,RUBELLA,Rubella,"per 1,000,000 total population",22.3
WHO_REGIONS,AFR,African Region,2008,TTETANUS,Total tetanus,"per 1,000,000 total population",6.7
WHO_REGIONS,AFR,African Region,2008,YFEVER,Yellow fever,"per 1,000,000 total population",0.4
WHO_REGIONS,AFR,African Region,2007,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
WHO_REGIONS,AFR,African Region,2007,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.1
WHO_REGIONS,AFR,African Region,2007,JAPENC,Japanese encephalitis,"per 1,000,000 total population",0.0
WHO_REGIONS,AFR,African Region,2007,MEASLES,Measles,"per 1,000,000 total population",94.9
WHO_REGIONS,AFR,African Region,2007,MUMPS,Mumps,"per 1,000,000 total population",118.1
WHO_REGIONS,AFR,African Region,2007,NTETANUS,Neonatal tetanus,per 1000 live births,0.0
WHO_REGIONS,AFR,African Region,2007,PERTUSSIS,Pertussis,"per 1,000,000 total population",42.4
WHO_REGIONS,AFR,African Region,2007,POLIO,Poliomyelitis,"per 1,000,000 <15 population",1.3
WHO_REGIONS,AFR,African Region,2007,RUBELLA,Rubella,"per 1,000,000 total population",6.3
WHO_REGIONS,AFR,African Region,2007,TTETANUS,Total tetanus,"per 1,000,000 total population",6.4
WHO_REGIONS,AFR,African Region,2007,YFEVER,Yellow fever,"per 1,000,000 total population",0.3
WHO_REGIONS,AFR,African Region,2006,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
